Already up-to-date.
Building rb
CC=/opt/rit/spack-app/linux-rhel7-x86_64/gcc-4.8.5/gcc-7.3.0-xegsmw4io2dcncdni4rqhfmhuzljcg3l/bin/gcc  CXX=/opt/rit/spack-app/linux-rhel7-x86_64/gcc-4.8.5/gcc-7.3.0-xegsmw4io2dcncdni4rqhfmhuzljcg3l/bin/g++
Generating version numbers in GitVersion.cpp
Running './regenerate.sh /home/petrucci/revbayes/projects/cmake/build
Making build directory '/home/petrucci/revbayes/projects/cmake/build'
Generating src/generated_include_dirs.cmake
Generating src/libs/CMakeLists.txt
Generating src/core/CMakeLists.txt
Generating src/revlanguage/CMakeLists.txt
Generating src/help2yml/CMakeLists.txt
Generating src/cmd/CMakeLists.txt


Running 'cmake ../../../src -DRB_EXEC_NAME=rb ' in /home/petrucci/revbayes/projects/cmake/build
-- Configuring done
-- Generating done
-- Build files have been written to: /home/petrucci/revbayes/projects/cmake/build

Running 'make -j 4' in /home/petrucci/revbayes/projects/cmake/build
[  2%] Built target rb-libs
Scanning dependencies of target rb-parser
[ 52%] Built target rb-core
[ 52%] Building CXX object revlanguage/CMakeFiles/rb-parser.dir/utils/GitVersion.cpp.o
[ 53%] Linking CXX static library librb-parser.a
[100%] Built target rb-parser
[100%] Linking CXX executable ../rb
[100%] Built target rb

RevBayes version (1.1.1)
Build from development (rapture-641-g7d4aab) on Tue Apr  6 16:29:10 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/avg_nuclear_MCMC.Rev")
   Processing file "scripts/avg_nuclear_MCMC.Rev"
   Successfully read one character matrix from file '/home/petrucci/canid_tree/data/nuclear.nex'

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 27 different moves in a random move schedule with 73 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |    Q_indicator   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |    -4.4327e+06   |   -4.43269e+06   |       -6.20267   |              1   |              4   |   00:00:00   |   --:--:--   |
1000        |   -2.54422e+06   |   -2.54424e+06   |        16.6215   |              0   |              5   |   00:09:42   |   --:--:--   |
2000        |   -2.54424e+06   |   -2.54424e+06   |       -4.18075   |              1   |              5   |   00:19:27   |   07:46:48   |
3000        |   -2.54422e+06   |   -2.54424e+06   |        16.5016   |              0   |              5   |   00:29:09   |   07:36:41   |
4000        |   -2.54424e+06   |   -2.54424e+06   |       -2.57919   |              1   |              5   |   00:38:52   |   07:26:58   |
5000        |   -2.54424e+06   |   -2.54423e+06   |       -4.12197   |              1   |              5   |   00:48:33   |   07:16:57   |
6000        |   -2.54422e+06   |   -2.54424e+06   |        16.5371   |              0   |              5   |   00:58:14   |   07:07:02   |
7000        |   -2.54422e+06   |   -2.54423e+06   |        16.6372   |              0   |              5   |   01:07:52   |   06:56:53   |
8000        |   -2.54422e+06   |   -2.54423e+06   |        14.0359   |              0   |              5   |   01:17:35   |   06:47:18   |
9000        |   -2.54422e+06   |   -2.54423e+06   |        15.5898   |              0   |              5   |   01:27:15   |   06:37:28   |
10000       |   -2.54424e+06   |   -2.54424e+06   |       -3.20517   |              1   |              5   |   01:36:54   |   06:27:36   |
11000       |   -2.54422e+06   |   -2.54424e+06   |        16.4222   |              0   |              5   |   01:46:34   |   06:17:49   |
12000       |   -2.54424e+06   |   -2.54423e+06   |       -2.85811   |              1   |              5   |   01:56:13   |   06:08:01   |
13000       |   -2.54421e+06   |   -2.54423e+06   |        16.6977   |              0   |              5   |   02:05:53   |   05:58:17   |
14000       |   -2.54422e+06   |   -2.54424e+06   |        13.4268   |              0   |              5   |   02:15:35   |   05:48:38   |
15000       |   -2.54422e+06   |   -2.54423e+06   |        16.3677   |              0   |              5   |   02:25:14   |   05:38:52   |
16000       |   -2.54423e+06   |   -2.54423e+06   |       -1.74313   |              1   |              5   |   02:34:54   |   05:29:09   |
17000       |   -2.54423e+06   |   -2.54424e+06   |         15.122   |              0   |              5   |   02:44:32   |   05:19:23   |
18000       |   -2.54423e+06   |   -2.54424e+06   |        16.2835   |              0   |              5   |   02:54:13   |   05:09:43   |
19000       |   -2.54424e+06   |   -2.54424e+06   |       -2.34828   |              1   |              5   |   03:03:52   |   04:59:59   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |    Q_indicator   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |   -2.54423e+06   |   -2.54423e+06   |       -1.98266   |              1   |              5   |   03:13:32   |   04:50:18   |
21000       |   -2.54422e+06   |   -2.54423e+06   |        13.7011   |              0   |              5   |   03:23:12   |   04:40:36   |
22000       |   -2.54422e+06   |   -2.54424e+06   |        16.1338   |              0   |              5   |   03:32:53   |   04:30:56   |
23000       |   -2.54424e+06   |   -2.54424e+06   |       -2.19571   |              1   |              5   |   03:42:32   |   04:21:14   |
24000       |   -2.54424e+06   |   -2.54424e+06   |       -2.83819   |              1   |              5   |   03:52:13   |   04:11:34   |
25000       |   -2.54424e+06   |   -2.54424e+06   |       -2.75268   |              1   |              5   |   04:01:54   |   04:01:54   |
26000       |   -2.54422e+06   |   -2.54423e+06   |        14.9955   |              0   |              5   |   04:11:34   |   03:52:12   |
27000       |   -2.54422e+06   |   -2.54424e+06   |        16.7183   |              0   |              5   |   04:21:13   |   03:42:31   |
28000       |   -2.54424e+06   |   -2.54424e+06   |       -1.71122   |              1   |              5   |   04:30:53   |   03:32:50   |
29000       |   -2.54422e+06   |   -2.54424e+06   |         15.714   |              0   |              5   |   04:40:33   |   03:23:09   |
30000       |   -2.54422e+06   |   -2.54424e+06   |        15.0612   |              0   |              5   |   04:50:13   |   03:13:28   |
31000       |   -2.54423e+06   |   -2.54424e+06   |        15.8499   |              0   |              5   |   04:59:55   |   03:03:49   |
32000       |   -2.54423e+06   |   -2.54424e+06   |        15.8146   |              0   |              5   |   05:09:34   |   02:54:07   |
33000       |   -2.54424e+06   |   -2.54424e+06   |       -2.11416   |              1   |              5   |   05:19:14   |   02:44:27   |
34000       |   -2.54422e+06   |   -2.54424e+06   |        16.5632   |              0   |              5   |   05:28:55   |   02:34:47   |
35000       |   -2.54424e+06   |   -2.54423e+06   |       -2.16116   |              1   |              5   |   05:38:37   |   02:25:07   |
36000       |   -2.54424e+06   |   -2.54424e+06   |       -1.79515   |              1   |              5   |   05:48:19   |   02:15:27   |
37000       |   -2.54424e+06   |   -2.54423e+06   |       -3.15121   |              1   |              5   |   05:58:00   |   02:05:47   |
38000       |   -2.54424e+06   |   -2.54423e+06   |       -3.05597   |              1   |              5   |   06:07:41   |   01:56:06   |
39000       |   -2.54425e+06   |   -2.54424e+06   |        -3.6715   |              1   |              5   |   06:17:23   |   01:46:26   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |    Q_indicator   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
40000       |   -2.54424e+06   |   -2.54423e+06   |       -1.99044   |              1   |              5   |   06:27:03   |   01:36:45   |
41000       |   -2.54422e+06   |   -2.54424e+06   |        16.5604   |              0   |              5   |   06:36:44   |   01:27:05   |
42000       |   -2.54422e+06   |   -2.54424e+06   |        16.5082   |              0   |              5   |   06:46:24   |   01:17:24   |
43000       |   -2.54424e+06   |   -2.54424e+06   |       -2.43542   |              1   |              5   |   06:56:04   |   01:07:43   |
44000       |   -2.54424e+06   |   -2.54424e+06   |       -2.38766   |              1   |              5   |   07:05:47   |   00:58:03   |
45000       |   -2.54423e+06   |   -2.54425e+06   |        14.9571   |              0   |              5   |   07:15:28   |   00:48:23   |
46000       |   -2.54422e+06   |   -2.54424e+06   |        16.2544   |              0   |              5   |   07:25:10   |   00:38:42   |
47000       |   -2.54422e+06   |   -2.54423e+06   |        15.3922   |              0   |              5   |   07:34:49   |   00:29:01   |
48000       |   -2.54425e+06   |   -2.54424e+06   |       -1.98125   |              1   |              5   |   07:44:30   |   00:19:21   |
49000       |   -2.54422e+06   |   -2.54423e+06   |        16.4148   |              0   |              5   |   07:54:10   |   00:09:40   |
50000       |   -2.54424e+06   |   -2.54423e+06   |       -2.50782   |              1   |              5   |   08:03:50   |   00:00:00   |
