
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd_clean.Rev")
   Processing file "scripts/combined_evidence_fbd_clean.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho_clean.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Could not compute lnProb for node fbd_tree.
   ((((Canis_simensis[&index=23]:0.661752,Canis_mesome...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_cinereoargenteus[&index=23]:9.484638,Uroc...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (Urocyon_webbi[&index=23]:19.413033,((Urocyon_minic...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (((((((Canis_thooides[&index=23]:3.923106,((Canis_a...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_webbi[&index=23]:0.843133,Urocyon_cinereo...

   Drawing new initial states ...

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 296 different moves in a random move schedule with 346.767 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |   -7.20722e+06   |   -7.20651e+06   |       -715.144   |       23.42599   |       23.42599   |       25.61347   |   00:00:00   |   --:--:--   |
1000        |   -2.54591e+06   |   -2.54596e+06   |        53.3265   |       2.194519   |       5.899738   |       21.53112   |   00:10:28   |   --:--:--   |
2000        |   -2.54531e+06   |   -2.54537e+06   |        58.8634   |       6.453354   |       6.453354   |       27.05701   |   00:20:05   |   16:24:05   |
3000        |   -2.54526e+06   |   -2.54535e+06   |        81.2975   |       6.590114   |       6.590114   |       20.47137   |   00:29:19   |   15:47:54   |
4000        |    -2.5453e+06   |   -2.54535e+06   |        52.3006   |       6.720763   |       6.720763   |       12.34283   |   00:38:37   |   15:26:48   |
5000        |   -2.54526e+06   |   -2.54534e+06   |        78.4295   |       6.636892   |       6.636892   |       11.96283   |   00:48:20   |   15:18:20   |
6000        |   -2.54524e+06   |   -2.54534e+06   |        98.4274   |       6.797506   |       6.797506   |        27.5766   |   00:57:57   |   15:07:53   |
7000        |   -2.54526e+06   |   -2.54534e+06   |        76.4849   |       6.807546   |       6.807546   |       29.56491   |   01:07:25   |   14:55:40   |
8000        |   -2.54525e+06   |   -2.54534e+06   |        83.8901   |       6.723217   |       6.723217   |       29.32113   |   01:16:54   |   14:44:21   |
9000        |   -2.54525e+06   |   -2.54534e+06   |        90.3903   |       6.607647   |       6.607647   |        15.7451   |   01:26:13   |   14:31:44   |
10000       |   -2.54525e+06   |   -2.54533e+06   |        87.6218   |       6.588494   |       6.588494   |        29.6951   |   01:35:31   |   14:19:39   |
11000       |   -2.54526e+06   |   -2.54535e+06   |        85.7289   |       6.717793   |       6.717793   |       29.74975   |   01:45:06   |   14:10:21   |
12000       |   -2.54526e+06   |   -2.54535e+06   |        89.8712   |       6.678569   |       6.678569   |       11.97879   |   01:54:23   |   13:58:48   |
13000       |   -2.54526e+06   |   -2.54534e+06   |        81.5427   |       6.606833   |       6.606833   |       18.78842   |   02:03:27   |   13:46:09   |
14000       |   -2.54529e+06   |   -2.54536e+06   |        65.3476   |       6.631747   |       6.631747   |       21.54615   |   02:12:28   |   13:33:43   |
15000       |   -2.54526e+06   |   -2.54534e+06   |        81.0708   |       6.578621   |       6.578621   |       19.66863   |   02:21:24   |   13:21:16   |
16000       |   -2.54525e+06   |   -2.54534e+06   |        83.9059   |       6.607885   |       6.607885   |         13.892   |   02:30:03   |   13:07:45   |
17000       |   -2.54525e+06   |   -2.54534e+06   |         96.634   |       6.569728   |       6.569728   |       29.89805   |   02:39:10   |   12:57:06   |
18000       |   -2.54524e+06   |   -2.54534e+06   |         97.428   |       6.722165   |       6.722165   |       10.99561   |   02:48:37   |   12:48:08   |
